,brand,resolution,inches,panel,Tv_os,original_price,price,discount,Rating_count
0,Samsung,HD Ready,32,LED,Tizen,17900,11990,33,"1,28,319"
1,Samsung,Full HD,43,LED,Tizen,27500,21990,20,10566
2,Samsung,4K,43,LED,Tizen,39500,25490,35,24665
3,LG,HD Ready,32,LED,WebOS,21240,13990,34,78225
4,Samsung,4K,43,LED,Tizen,41300,25990,37,70277
5,XIAOMI,Ultra HD,43,LED,,37999,20999,44,83331
6,TCL,Ultra HD,55,QLED,Google,84590,34990,58,7746
7,VW,HD Ready,32,QLED,,18999,7499,60,154
8,Acer,Full HD,40,LED,Google,38999,13499,65,1080
9,realme,HD Ready,32,QLED,Google,23999,9199,61,19707
10,Uniboom,Full HD,43,LED,,40990,12907,68,4510
11,iFFALCON,HD Ready,32,LED,Google,19990,8399,57,6503
12,Samsung,Ultra HD,55,QLED,Tizen,75500,43990,41,2786
13,Samsung,Ultra HD,43,QLED,Tizen,50600,32990,34,2786
14,TCL,Full HD,32,QLED,Google,22990,12978,43,7438
15,iFFALCON,Ultra HD,55,LED,Google,66599,23999,63,13621
16,MOTOROLA,HD Ready,32,QLED,Google,26999,9899,63,10067
17,Foxsky,HD Ready,24,LED,,9990,5499,44,15907
18,Acer,Ultra HD,55,LED,Google,73999,26999,63,1080
19,VW,HD Ready,32,LED,,12999,6899,46,26
20,XIAOMI,HD Ready,32,QLED,Google,26999,12499,53,14812
21,realme,Ultra HD,55,LED,Google,57999,26699,53,966
22,VW,HD Ready,24,LED,,11000,4499,59,60
23,Samsung,4K,75,LED,Tizen,"1,28,900",71990,44,152
24,Foxsky,HD Ready,32,LED,,22499,7499,66,15907
25,Coocaa,HD Ready,32,LED,,13999,7499,46,21731
26,Uniboom,Full HD,43,LED,,40990,12707,68,191
27,Coocaa,Ultra HD,55,LED,Google,54999,21999,60,1040
28,realme,Ultra HD,43,LED,Google,40499,18999,53,3455
29,VW,Ultra HD,43,QLED,Google,49999,16999,66,66
30,ONIDA,HD Ready,32,QLED,Google,24990,9499,61,20
31,XIAOMI,Ultra HD,55,LED,,48999,29999,38,83331
32,Foxsky,Full HD,43,LED,,41499,12499,69,15907
33,SONY,Ultra HD,55,LED,Google,91900,55990,39,31004
34,BESTON,Full HD,43,LED,,23999,11999,50,4725
35,Uniboom,HD Ready,32,LED,,23990,6969,70,4510
36,BESTON,HD Ready,32,LED,,17999,7359,59,4725
37,Coocaa,Full HD,50,LED,,35999,16999,52,21731
38,realme,Ultra HD,65,QLED,Google,86599,36999,57,19707
39,VW,HD Ready,32,QLED,,16999,7599,55,154
40,Uniboom,HD Ready,32,LED,,28990,7802,73,4510
41,Samsung,4K,55,LED,Tizen,55200,37990,31,24665
42,BESTON,Ultra HD,55,QLED,Google,59999,21999,63,1923
43,realme,Ultra HD,50,LED,Google,56199,22999,59,3455
44,iFFALCON,Ultra HD,43,LED,Google,45899,17999,60,13621
45,PHILIPS,HD Ready,32,LED,Google,22999,10999,52,5188
46,PHILIPS,Full HD,43,LED,Google,31999,17999,43,5188
47,Reliance,Full HD,32,LED,,19990,7690,61,1223
48,iFFALCON,Ultra HD,65,LED,Google,"1,20,990",37999,68,13621
49,MarQ,Full HD,43,LED,,45990,12999,71,10055
50,Acer,HD Ready,32,LED,Google,21999,9999,54,1080
51,VW,Full HD,43,QLED,,24999,12999,48,154
52,XIAOMI,Ultra HD,55,QLED,,62999,32999,47,14812
53,VW,Ultra HD,55,QLED,Google,59999,24999,58,66
54,Reliance,HD Ready,32,QLED,Google,29990,10499,64,396
55,VW,Full HD,40,QLED,,20999,10999,47,154
56,VW,Ultra HD,43,QLED,,43999,15999,63,15
57,Infinix,Full HD,40,QLED,,21999,12499,43,1068
58,realme,Ultra HD,55,LED,Google,63599,26499,58,3455
59,MarQ,HD Ready,32,LED,,17000,7099,58,11081
60,realme,Full HD,32,LED,,23999,9200,61,12690
61,MarQ,HD Ready,32,LED,,21000,7999,61,10055
62,Infinix,HD Ready,32,QLED,Google,16999,8999,47,1318
63,TCL,Ultra HD,55,LED,Google,"1,09,990",45350,58,313
64,Coocaa,HD Ready,32,QLED,Google,16999,8499,50,369
65,Thomson,HD Ready,24,QLED,,11999,6499,45,8188
66,TCL,Ultra HD,55,LED,Google,"1,61,990",72990,54,135
67,BPL,Full HD,43,LED,,31000,19991,35,3
68,MarQ,HD Ready,24,LED,,15000,4999,66,11081
69,KODAK,HD Ready,32,QLED,,14999,8499,43,828
70,Hisense,Ultra HD,65,LED,Google,79999,41999,47,8411
71,KODAK,Full HD,43,LED,,26999,15499,42,41215
72,KODAK,Full HD,40,LED,,23999,13999,41,41215
73,XIAOMI,HD Ready,32,LED,Google,24999,14999,40,"1,09,473"
74,KODAK,HD Ready,32,LED,,17999,9999,44,41215
75,acerpure,Ultra HD,65,QLED,Google,"1,10,990",37999,65,1203
76,Reliance,Full HD,43,LED,Google,44990,16490,63,396
77,Compaq,Ultra HD,55,LED,,48999,16999,65,4479
78,KODAK,Full HD,42,LED,,28499,12499,56,41215
79,KODAK,Full HD,43,LED,,20999,13999,33,13351
80,XIAOMI,Full HD,43,LED,Google,30999,19999,35,"1,09,473"
81,Infinix,HD Ready,32,LED,,16999,7599,55,65793
82,Infinix,HD Ready,32,LED,,16999,8999,47,65793
83,Haier,Ultra HD,55,LED,Google,60990,35990,40,32
84,Thomson,Full HD,43,LED,,20999,14499,30,50799
85,TCL,Ultra HD,55,QLED,Google,20490,11990,41,3132
86,TCL,HD Ready,32,QLED,Google,32200,21499,33,7438
87,Vu,Ultra HD,43,QLED,Google,14999,8299,44,1005
88,KODAK,HD Ready,32,LED,,77990,30990,60,13351
89,TCL,Ultra HD,55,LED,Google,"3,35,989","1,84,990",44,4479
90,LG,Ultra HD,65,OLED,WebOS,18900,14400,23,3
91,Samsung,HD Ready,32,LED,Tizen,19990,6999,64,25
92,Foxsky,HD Ready,32,LED,,17999,12998,27,5420
93,KODAK,Full HD,40,QLED,,19990,6999,64,828
94,Bush,HD Ready,32,LED,,19999,9999,50,6
95,Thomson,HD Ready,32,QLED,,22999,9199,60,36955
96,BESTON,HD Ready,32,QLED,Google,53990,25990,51,1923
97,TCL,Ultra HD,43,QLED,Google,26999,14999,44,7746
98,XIAOMI,HD Ready,32,QLED,Google,19999,11299,43,14812
99,BESTON,Full HD,40,LED,,32999,24999,24,4725
100,PHILIPS,Ultra HD,50,QLED,Google,12999,4999,61,1975
101,Foxsky,HD Ready,24,LED,,52299,26499,49,5420
102,MOTOROLA,Ultra HD,55,LED,Google,40999,26499,35,8609
103,Thomson,Ultra HD,55,QLED,,44999,24999,44,2615
104,Coocaa,Ultra HD,55,LED,Google,38990,24990,35,879
105,Haier,Ultra HD,43,LED,Google,33990,14499,57,32
106,iFFALCON,Full HD,40,LED,Google,71990,40599,43,6503
107,LG,Ultra HD,55,LED,WebOS,33999,16593,51,4695
108,Thomson,Ultra HD,43,LED,,18990,14990,21,27073
109,Panasonic,HD Ready,32,LED,,65399,28999,55,1381
110,realme,Ultra HD,55,QLED,Google,44999,31999,28,19707
111,PHILIPS,Ultra HD,55,QLED,Google,18999,7299,61,1975
112,HUIDI,HD Ready,65,LED,,"1,12,490",47990,57,3947
113,TCL,Ultra HD,40,LED,Google,17999,12999,27,4479
114,Thomson,Full HD,55,QLED,,42990,24999,41,8188
115,ONIDA,Ultra HD,55,LED,Google,72999,25999,64,1159
116,Acer,Ultra HD,32,LED,Google,20000,10699,46,12913
117,Vu,HD Ready,55,LED,,59899,27999,53,8514
118,MOTOROLA,Ultra HD,55,QLED,Google,65399,27499,57,10067
119,realme,Ultra HD,32,LED,Google,26499,8499,67,705
120,Foxsky,HD Ready,32,QLED,Google,14999,8499,43,7995
121,Thomson,HD Ready,43,QLED,,19999,17499,12,8188
122,Infinix,Ultra HD,65,QLED,Google,59999,34999,41,2893
123,Coocaa,Ultra HD,75,LED,Google,"1,14,999",51999,54,879
124,BESTON,Ultra HD,43,QLED,Google,49999,15999,68,1923
125,BESTON,Ultra HD,43,QLED,Google,44999,19999,55,1923
126,Hisense,Ultra HD,32,LED,Google,79990,30990,61,8411
127,LG,Full HD,55,LED,WebOS,"2,39,999",58099,75,28
128,TCL,Ultra HD,75,QLED,Google,44999,23999,46,5948
129,realme,Ultra HD,43,QLED,Google,75499,31999,57,19707
130,XIAOMI,Ultra HD,55,QLED,,49999,22999,54,14812
131,MOTOROLA,Ultra HD,50,LED,Google,39500,14499,63,891
132,Thomson,Ultra HD,40,QLED,Google,50999,22999,54,36955
133,Acer,Full HD,43,QLED,Google,46990,19990,57,162
134,Acer,Ultra HD,43,QLED,Google,13999,7499,46,2841
135,Reliance,Ultra HD,32,LED,Google,22999,9999,56,396
136,Coocaa,HD Ready,32,LED,,97990,24999,74,21250
137,Blaupunkt,HD Ready,55,QLED,,34990,15690,55,13640
138,Foxsky,Ultra HD,40,LED,,91990,59990,34,15907
139,TOSHIBA,Full HD,65,LED,,29990,12999,56,9183
140,Haier,Ultra HD,32,QLED,Google,49699,20999,57,417
141,Metz,HD Ready,43,QLED,Google,21490,9788,54,3
142,MOTOROLA,Ultra HD,32,QLED,Google,21490,9990,53,4280
143,Reliance,HD Ready,32,LED,,24999,11999,52,396
144,Reliance,HD Ready,32,LED,,"1,49,999",63608,57,11
145,XIAOMI,HD Ready,75,LED,Google,25990,11999,53,"1,09,473"
146,Thomson,Ultra HD,43,LED,,26999,21999,18,40741
147,Compaq,Full HD,43,LED,,45999,26999,41,4479
148,PHILIPS,Ultra HD,55,QLED,Google,22990,6353,72,1975
149,Coocaa,Ultra HD,24,QLED,Google,62999,39999,36,718
150,Uniboom,HD Ready,55,LED,,40000,22199,44,4510
151,XIAOMI,Ultra HD,43,QLED,Google,46000,30899,32,14812
152,Vu,Ultra HD,55,LED,Google,86999,58999,32,19762
153,Vu,Ultra HD,65,QLED,Google,49999,38350,23,1005
154,Blaupunkt,Ultra HD,55,LED,Google,39999,14999,62,41
155,XIAOMI,Ultra HD,43,LED,,69099,27499,60,83331
156,NU,Full HD,50,LED,WebOS,61699,27999,54,122
157,MOTOROLA,Ultra HD,55,LED,Google,20990,14490,30,891
158,realme,Ultra HD,32,QLED,Google,"4,19,990","2,24,990",46,2065
159,Panasonic,HD Ready,65,LED,Google,45999,8293,81,1381
160,LG,Ultra HD,43,OLED,WebOS,20990,18991,9,12
161,Compaq,Ultra HD,32,LED,,79999,35100,56,4479
162,LG,Full HD,55,LED,WebOS,36999,27999,24,72
163,Nokia,Ultra HD,55,QLED,,62999,23999,61,2070
164,Infinix,Ultra HD,50,QLED,Google,"3,79,990","1,39,990",63,2893
165,Acer,Ultra HD,75,LED,Google,80990,27999,65,12913
166,TCL,Ultra HD,55,LED,Google,19990,9990,50,23
167,acerpure,Ultra HD,32,QLED,Google,"1,09,990",43099,60,1203
168,Sansui,HD Ready,65,LED,,39999,17999,55,374
169,acerpure,Ultra HD,43,QLED,Google,88399,39999,54,1609
170,Coocaa,Ultra HD,65,QLED,Google,44999,16499,63,718
171,MOTOROLA,Ultra HD,43,QLED,Google,24999,15499,38,10067
172,Kenstar,Ultra HD,43,LED,Tizen,44999,28999,35,232
173,Infinix,Full HD,43,LED,,49999,22999,54,5670
174,XIAOMI,Ultra HD,50,QLED,Google,84999,37999,55,14812
175,KODAK,Ultra HD,65,QLED,Google,20990,15490,26,6631
176,KODAK,Ultra HD,32,QLED,Google,69900,29990,57,6631
177,Haier,HD Ready,55,LED,Google,21240,15060,29,18
178,OnePlus,Ultra HD,32,QLED,,19999,9989,50,1110
179,LG,Full HD,32,LED,WebOS,80199,34499,56,4
180,OnePlus,HD Ready,65,LED,,36499,22499,38,98160
181,realme,Ultra HD,50,LED,Google,25999,11499,55,3455
182,Thomson,Ultra HD,32,QLED,,65399,28499,56,2615
183,Hisense,HD Ready,55,QLED,Google,24999,12999,48,1369
184,realme,Ultra HD,40,QLED,Google,69999,43999,37,2245
185,skylive,Full HD,65,LED,,23990,9999,58,17
186,KODAK,Ultra HD,32,QLED,Google,55000,27699,49,33
187,TCL,Full HD,50,LED,Google,45990,27647,39,26299
188,Vu,Ultra HD,55,LED,Google,22990,14594,36,19762
189,ONIDA,Ultra HD,32,LED,Google,"1,20,990",32999,72,573
190,TCL,Full HD,55,QLED,Google,55990,30990,44,53
191,TCL,Ultra HD,50,QLED,Google,52990,22099,58,11812
192,Haier,Ultra HD,43,LED,Google,17999,6999,61,32
193,TCL,Ultra HD,32,LED,Google,52998,29527,44,15860
194,XElectron,HD Ready,55,LED,,63233,50999,19,955
195,Acer,Ultra HD,55,LED,Google,25990,12289,52,5573
196,LG,Ultra HD,32,LED,WebOS,12999,6490,50,19
197,TOSHIBA,HD Ready,24,QLED,Google,45000,36792,18,443
198,LUGOSI,HD Ready,43,LED,,"1,28,900",75490,41,18302
199,LG,Ultra HD,65,LED,WebOS,85600,56490,34,31004
200,SONY,Ultra HD,65,LED,Google,18900,10999,41,24665
201,Samsung,4K,75,LED,Tizen,"2,49,999",60999,75,"1,28,319"
202,Samsung,HD Ready,75,LED,Tizen,"2,59,900",71767,72,10067
203,MOTOROLA,Ultra HD,32,QLED,Google,34900,26999,22,644
204,TCL,Ultra HD,65,QLED,Google,"1,16,990",52990,54,28
205,SONY,Full HD,32,LED,Google,19999,15000,24,7746
206,TCL,Ultra HD,65,QLED,Google,54999,43999,20,9
207,iMEE,HD Ready,43,LED,,50990,16599,67,1975
208,PHILIPS,Ultra HD,65,QLED,Google,99990,43999,55,80212
209,iFFALCON,Ultra HD,55,LED,Google,98990,38990,60,365
210,iFFALCON,Ultra HD,77,LED,Google,"5,43,800","4,69,969",13,2437
211,TCL,Ultra HD,65,QLED,Google,"1,39,900",81174,41,5
212,Samsung,Ultra HD,43,OLED,Tizen,69900,41432,40,326
213,SONY,Ultra HD,32,LED,Google,20990,12449,40,326
214,SONY,Ultra HD,32,LED,Google,14999,8499,43,26
215,Blaupunkt,Full HD,32,QLED,Google,18999,8299,56,168
216,skylive,HD Ready,65,QLED,,84999,37799,55,4
217,Blaupunkt,HD Ready,32,LED,,34900,27360,21,13640
218,SONY,Ultra HD,55,QLED,Google,62990,29990,52,22
219,Reliance,HD Ready,65,LED,Google,79999,35999,55,8
220,VW,Ultra HD,32,QLED,WebOS,17999,9999,44,66
221,Thomson,Ultra HD,32,QLED,Google,19999,9999,50,"1,28,548"
222,KODAK,HD Ready,40,LED,,27999,19399,30,6631
223,OnePlus,HD Ready,55,QLED,,59999,32499,45,87399
224,OnePlus,Full HD,32,LED,,20990,9490,54,18506
225,TCL,Ultra HD,43,LED,,29999,17999,40,26299
226,Thomson,HD Ready,75,LED,,"2,58,990",54999,78,2615
227,TCL,Ultra HD,65,QLED,,84999,35999,57,5948
228,Thomson,Ultra HD,55,QLED,Google,59999,25499,57,36955
229,Thomson,Ultra HD,43,QLED,Google,42990,17999,58,36955
230,Micromax,Ultra HD,55,QLED,Google,64999,23999,63,2228
231,VW,Full HD,50,LED,,53990,26990,50,15
232,TCL,Ultra HD,32,QLED,,28390,10999,61,154
233,Haier,Full HD,65,QLED,Google,86999,57999,33,270
234,Thomson,HD Ready,50,LED,,58899,25999,55,83
235,realme,Ultra HD,43,LED,Google,40999,26999,34,19707
236,Lumio,Ultra HD,55,QLED,Google,54999,36850,32,4
237,XIAOMI,Ultra HD,55,QLED,Google,80990,36490,54,83331
238,TCL,Ultra HD,55,LED,Google,54999,36850,32,644
239,XIAOMI,Ultra HD,40,QLED,Google,38499,11499,70,83331
240,Foxsky,Ultra HD,65,LED,Google,"1,59,999",59990,62,15907
241,OnePlus,Full HD,65,LED,,89999,47999,46,102
242,Hisense,Ultra HD,55,QLED,Google,80990,36490,54,3191
243,TCL,Ultra HD,40,QLED,,34990,17967,48,644
244,Sansui,Ultra HD,65,QLED,Google,86599,38699,55,2864
245,realme,Full HD,43,LED,Google,29999,15999,46,2245
246,Coocaa,Ultra HD,32,QLED,Google,23999,10790,55,369
247,Acer,Full HD,43,QLED,Google,26999,15999,40,2557
248,Thomson,HD Ready,40,LED,Google,23999,13999,41,"1,28,548"
249,Thomson,Full HD,32,LED,,20990,15962,23,"1,28,548"
250,LG,Full HD,65,LED,,64500,50990,20,51
251,Vu,HD Ready,75,LED,WebOS,"8,75,600","3,32,918",61,1005
252,Samsung,Ultra HD,43,QLED,Google,44999,18999,57,3
253,Hisense,Ultra HD,55,QLED,Tizen,"1,09,990",43990,60,8411
254,TCL,Ultra HD,43,LED,Google,35999,16699,53,1597
255,realme,Ultra HD,43,LED,Google,48799,21499,55,"2,19,555"
256,realme,Full HD,55,LED,,78999,28999,63,19707
257,Acer,Ultra HD,32,QLED,Google,24999,14761,40,162
258,Samsung,Ultra HD,43,QLED,Google,37999,24999,34,169
259,XIAOMI,HD Ready,32,LED,,17990,14990,16,83331
260,Samsung,Ultra HD,55,LED,Google,"2,47,090","1,62,899",34,36
261,LG,HD Ready,75,LED,Tizen,"1,74,999",74999,57,12
262,TOSHIBA,Ultra HD,55,OLED,WebOS,53999,30999,42,5465
263,Hisense,Ultra HD,43,QLED,,51490,31490,38,8411
264,Haier,Ultra HD,32,LED,Google,16999,7499,55,417
265,BESTON,Ultra HD,43,QLED,Google,26999,15998,40,104
266,Blaupunkt,HD Ready,40,LED,,23999,13999,41,16881
267,Blaupunkt,Full HD,32,LED,,17999,9999,44,16881
268,Blaupunkt,Full HD,65,LED,,98999,54999,44,16881
269,TOSHIBA,HD Ready,43,LED,,46999,21199,54,5465
270,Hisense,Ultra HD,55,QLED,,53999,32999,38,6939
271,TOSHIBA,Ultra HD,43,QLED,,63900,42560,33,2077
272,SONY,Ultra HD,65,QLED,,79990,59829,25,12
273,Sansui,Ultra HD,55,LED,Google,"1,19,990",49490,58,789
274,TCL,Ultra HD,32,QLED,Google,34900,26990,22,926
275,SONY,Ultra HD,43,LED,Google,29999,17999,40,1127
276,Blaupunkt,HD Ready,43,LED,Google,54900,36990,32,445
277,Samsung,Ultra HD,65,QLED,,"1,69,990",67881,60,20
278,TCL,Ultra HD,43,LED,Tizen,45999,21999,52,926
279,TOSHIBA,Ultra HD,32,LED,Google,24999,11579,53,2077
280,Hisense,Ultra HD,65,QLED,,89999,57900,35,2352
281,XIAOMI,HD Ready,43,LED,Google,39990,18999,52,14812
282,Sansui,Ultra HD,43,QLED,Google,45990,20856,54,2864
283,TCL,Full HD,55,LED,Google,79999,35999,55,27
284,TOSHIBA,Full HD,55,QLED,Google,70999,38700,45,5465
285,XIAOMI,Ultra HD,50,QLED,Google,66999,29440,56,14812
